department,semester,students_enrolled,teacher_count,previous_demand,course_demand
Data Science,4,134,12,188,Low
Artificial Intelligence,8,45,5,283,Medium
Data Science,3,172,10,77,Low
Information Technology,4,200,11,105,Low
Information Technology,3,41,11,239,Low
Information Technology,2,99,3,218,Medium
Artificial Intelligence,4,223,8,116,Medium
Software Engineering,1,180,9,195,Medium
Data Science,1,151,2,288,High
Information Technology,3,104,13,60,Low
Data Science,6,297,11,223,High
Software Engineering,2,223,13,80,Low
Data Science,1,157,7,250,Medium
Information Technology,8,188,2,95,Medium
Data Science,8,45,12,300,Low
Information Technology,5,207,4,40,Low
Computer Science,1,269,7,69,Medium
Computer Science,2,115,12,54,Low
Artificial Intelligence,4,80,10,296,Medium
Computer Science,2,158,15,281,Medium
Software Engineering,6,120,4,79,Low
Artificial Intelligence,5,68,5,210,Low
Data Science,4,232,6,216,Medium
Information Technology,1,217,7,53,Low
Software Engineering,8,270,12,116,Medium
Software Engineering,5,229,4,77,Medium
Data Science,6,138,2,177,Medium
Computer Science,5,239,7,62,Medium
Computer Science,8,207,8,184,Medium
Information Technology,1,81,8,55,Low
Software Engineering,1,108,14,265,Low
Software Engineering,7,251,2,36,Medium
Artificial Intelligence,6,285,14,215,Medium
Artificial Intelligence,2,231,12,29,Low
Software Engineering,8,74,4,155,Low
Data Science,3,23,13,136,Low
Information Technology,1,134,13,108,Low
Information Technology,2,85,7,298,Medium
Software Engineering,6,150,15,161,Low
Software Engineering,7,135,14,169,Low
Artificial Intelligence,5,46,10,289,Low
Information Technology,5,38,14,64,Low
Information Technology,1,154,8,219,Medium
Software Engineering,7,178,5,212,Medium
Information Technology,7,201,12,191,Medium
Information Technology,1,143,10,40,Low
Software Engineering,3,297,13,206,Medium
Computer Science,5,191,13,178,Medium
Computer Science,3,61,3,140,Low
Artificial Intelligence,3,148,3,50,Low
Software Engineering,7,80,6,163,Low
Artificial Intelligence,5,181,15,285,Medium
Software Engineering,5,135,3,84,Low
Software Engineering,4,224,8,101,Medium
Computer Science,4,253,15,192,Medium
Data Science,4,38,13,69,Low
Computer Science,1,246,9,172,Medium
Software Engineering,1,95,7,273,Medium
Software Engineering,2,140,2,277,Medium
Data Science,8,142,3,251,Medium
Artificial Intelligence,4,60,8,77,Low
Artificial Intelligence,5,85,13,203,Low
Information Technology,7,128,4,41,Low
Artificial Intelligence,8,129,10,52,Low
Software Engineering,4,273,5,89,Medium
Artificial Intelligence,7,195,6,177,Medium
Data Science,1,50,12,108,Low
Computer Science,4,181,4,188,Medium
Data Science,5,64,15,278,Low
Artificial Intelligence,4,258,9,190,Medium
Computer Science,2,79,8,192,Low
Software Engineering,4,246,8,207,Medium
Software Engineering,1,210,4,147,Medium
Artificial Intelligence,4,229,6,279,High
Software Engineering,2,70,14,110,Low
Software Engineering,1,33,4,176,Low
Artificial Intelligence,7,117,12,264,Medium
Data Science,3,101,2,166,Medium
Information Technology,4,61,2,192,Low
Computer Science,4,220,4,96,Medium
Computer Science,6,57,14,30,Low
Computer Science,4,84,13,87,Low
Data Science,6,272,4,52,Medium
Data Science,8,75,13,57,Low
Software Engineering,8,108,13,161,Low
Information Technology,8,282,11,199,Medium
Data Science,6,181,9,96,Low
Data Science,8,197,8,191,Medium
Artificial Intelligence,8,229,15,275,Medium
Software Engineering,7,221,2,85,Medium
Computer Science,7,167,8,182,Medium
Artificial Intelligence,5,22,7,54,Low
Information Technology,2,77,2,73,Low
Computer Science,6,92,15,211,Low
Software Engineering,8,247,10,268,High
Software Engineering,3,212,7,180,Medium
Computer Science,8,200,10,37,Low
Data Science,4,136,8,277,Medium
Software Engineering,1,234,9,163,Medium
Software Engineering,2,299,2,62,Medium
Information Technology,5,111,6,119,Low
Software Engineering,1,297,13,57,Medium
Software Engineering,4,191,3,75,Medium
Artificial Intelligence,5,89,12,128,Low
Data Science,2,224,14,254,Medium
Information Technology,2,109,15,189,Low
Data Science,7,218,3,214,Medium
Data Science,7,214,7,138,Medium
Computer Science,2,61,10,57,Low
Software Engineering,6,228,10,161,Medium
Software Engineering,1,70,15,95,Low
Data Science,4,263,12,183,Medium
Software Engineering,3,127,7,214,Medium
Information Technology,7,254,15,82,Low
Data Science,3,185,6,261,Medium
Information Technology,3,153,14,122,Low
Artificial Intelligence,2,62,10,55,Low
Data Science,2,288,11,274,High
Artificial Intelligence,3,259,15,54,Low
Artificial Intelligence,2,83,2,265,Medium
Data Science,6,227,10,137,Medium
Software Engineering,7,182,14,40,Low
Data Science,3,107,8,65,Low
Artificial Intelligence,2,40,14,161,Low
Artificial Intelligence,1,239,5,62,Medium
Artificial Intelligence,8,52,11,73,Low
Data Science,1,116,13,73,Low
Artificial Intelligence,1,217,15,135,Low
Information Technology,7,240,12,201,Medium
Data Science,8,204,10,250,Medium
Data Science,8,274,14,186,Medium
Information Technology,1,100,3,166,Medium
Data Science,3,46,8,81,Low
Information Technology,7,196,15,39,Low
Data Science,1,237,4,84,Medium
Software Engineering,2,119,3,121,Low
Information Technology,6,253,7,135,Medium
Data Science,4,120,5,183,Medium
Software Engineering,1,202,14,158,Low
Software Engineering,7,251,14,175,Medium
Software Engineering,6,156,11,281,Medium
Data Science,8,275,2,47,Medium
Data Science,8,79,5,249,Medium
Information Technology,4,244,13,267,Medium
Computer Science,6,26,3,140,Low
Information Technology,8,123,15,50,Low
Data Science,2,291,3,49,Medium
Computer Science,5,129,12,273,Medium
Computer Science,1,127,9,78,Low
Software Engineering,7,261,3,276,High
Software Engineering,8,55,15,42,Low
Information Technology,3,230,5,66,Medium
Software Engineering,8,255,3,145,Medium
Software Engineering,7,80,2,199,Medium
Software Engineering,7,20,3,56,Low
Artificial Intelligence,6,133,11,135,Low
Data Science,1,213,5,116,Medium
Information Technology,6,297,8,181,High
Computer Science,6,271,13,156,Medium
Software Engineering,2,275,10,151,Medium
Information Technology,1,109,13,217,Low
Data Science,1,180,6,49,Low
Artificial Intelligence,7,144,13,232,Low
Information Technology,6,231,12,32,Low
Information Technology,6,42,13,174,Low
Artificial Intelligence,1,206,10,287,Medium
Software Engineering,1,261,13,37,Low
Software Engineering,1,193,14,77,Low
Computer Science,3,247,5,227,High
Data Science,5,181,6,122,Medium
Software Engineering,7,300,8,176,High
Information Technology,2,87,10,182,Low
Artificial Intelligence,6,119,12,192,Low
Computer Science,5,292,6,204,High
Data Science,4,35,6,46,Low
Computer Science,4,166,6,58,Low
Artificial Intelligence,7,137,15,21,Low
Artificial Intelligence,6,295,5,249,High
Artificial Intelligence,6,165,13,20,Low
Computer Science,6,34,2,51,Low
Software Engineering,6,281,12,124,Medium
Artificial Intelligence,8,290,11,183,Medium
Information Technology,5,125,13,186,Low
Data Science,5,86,11,131,Low
Artificial Intelligence,1,53,7,216,Low
Information Technology,8,238,2,155,Medium
Computer Science,8,63,4,138,Low
Software Engineering,6,258,4,137,Medium
Data Science,7,36,9,291,Low
Artificial Intelligence,3,284,9,168,Medium
Computer Science,2,61,5,85,Low
Artificial Intelligence,7,24,11,29,Low
Data Science,3,98,2,172,Medium
Computer Science,5,48,2,286,Medium
Software Engineering,3,190,5,87,Medium
Information Technology,6,64,4,32,Low
Computer Science,4,79,11,223,Low
Information Technology,7,141,12,134,Low
Computer Science,1,57,2,262,Medium
Data Science,6,277,13,111,Medium
Information Technology,7,60,7,269,Medium
Data Science,7,283,4,22,Medium
Computer Science,7,280,6,191,High
Information Technology,4,68,13,106,Low
Software Engineering,2,224,6,226,Medium
Software Engineering,8,39,12,56,Low
Information Technology,3,161,6,142,Medium
Data Science,4,126,10,230,Medium
Data Science,4,81,11,59,Low
Information Technology,7,241,7,124,Medium
Artificial Intelligence,8,114,9,270,Medium
Computer Science,5,180,2,284,High
Software Engineering,8,167,8,258,Medium
Artificial Intelligence,2,274,3,34,Medium
Information Technology,3,156,7,182,Medium
Computer Science,4,87,8,103,Low
Computer Science,8,121,8,153,Low
Information Technology,4,83,13,135,Low
Software Engineering,6,293,12,254,High
Computer Science,3,46,8,23,Low
Computer Science,3,63,4,146,Low
Software Engineering,8,173,2,23,Low
Data Science,8,103,10,123,Low
Computer Science,3,201,4,151,Medium
Computer Science,4,195,7,269,Medium
Computer Science,6,204,6,121,Medium
Software Engineering,4,167,8,152,Medium
Artificial Intelligence,5,273,9,186,Medium
Data Science,7,254,15,238,Medium
Data Science,5,168,11,217,Medium
Computer Science,2,231,4,219,High
Computer Science,2,130,9,136,Low
Software Engineering,1,282,14,49,Low
Computer Science,8,25,3,93,Low
